"nest_site","nest_area","site_name","intact_at_last_obs","year_last_monitored","year_last_intact","year_last_occupancy","year_first_monitored","comments","landscape","county","state","ifw_region","nest_evaluation_date","nest_tree_prominence","nest_comments","long_utm","lat_utm","long","lat"
"013F","013","Flying Point","No",2013,2009,2005,2002,"","coastal","Sagadahoc","ME","B","","supercanopy","",439327.505089,4859026.33523,-69.7552610118798,43.8818393753374
"013G","013","Tyler Islands","Yes",2013,2013,2013,2007,"","coastal","Lincoln","ME","B","","dominant","",441020.887155,4859284.62525,-69.734211812939,43.8843021140506
"014A","014","Damariscotta Mills vicinity","No",2014,1978,1974,1972,"","interior","Lincoln","ME","B","","dominant","",457419,4878920,-69.5316621956793,44.0622118094762
"014B","014","Damariscotta Mills vicinity","No",2014,2007,2007,1974,"","interior","Lincoln","ME","B","","supercanopy","",457133.864451,4878832.0201,-69.5352150808418,44.0614031030893
"014C","014","Damariscotta Mills vicinity","No",2014,1981,1979,1977,"","interior","Lincoln","ME","B","","supercanopy","",457350,4878860,-69.5325188439947,44.0616676160223
"014D","014","Damariscotta Mills vicinity","No",2014,2005,2005,1992,"","interior","Lincoln","ME","B","","","",457466.15681,4878947.8294,-69.5310756652416,44.062465096499
"014E","014","Damariscotta Mills vicinity","Yes",2014,2014,2013,2008,"","interior","Lincoln","ME","B","","","",457451.6,4878902.863,-69.5312537928997,44.0620594179796
"015A","015","Folly Pond vicinity","No",2013,1983,1966,1966,"","coastal","Knox","ME","B","","dominant","",511626.351917,4880321.44654,-68.8548008012299,44.075974334367
"016A","016","Mark Island","No",2013,1984,1983,1977,"","coastal","Knox","ME","B","","dominant","",501482.876602,4891045.13788,-68.9814504326766,44.1726138419588
"016B","016","Mark Island","No",2013,2000,1991,1982,"","coastal","Knox","ME","B","","dominant","",501291,4891010,-68.9838507374666,44.1722978518196
"016C","016","Mark Island","No",2013,2002,1999,1992,"","coastal","Knox","ME","B","","dominant","",501481,4891140,-68.9814736400527,44.1734679117777
"016D","016","Mark Island","No",2013,2004,2003,2000,"","coastal","Knox","ME","B","","dominant","",501440.831616,4891072.15529,-68.9819763067804,44.1728571702653
"016E","016","Mark Island","No",2013,2006,2006,2004,"","coastal","Knox","ME","B","","dominant","",501348.338,4891009.338,-68.9831334917786,44.1722917880363
"016F","016","Mark Island","No",2013,2008,2007,2007,"","coastal","Knox","ME","B","","dominant","",501361.273,4891003.546,-68.9829717014537,44.1722396172855
"016G","016","Mark Island","Yes",2013,2013,2013,2007,"","coastal","Knox","ME","B","","dominant","",501534.720886,4891356.61491,-68.980800993541,44.1754180353905
"017A","017","Burnt Island","No",2013,1989,1989,1970,"","coastal","Knox","ME","B","6/14/1979","dominant","Bole divides into 4 leaders at ground level:  other stems are 58.9 cm, 54.9 cm, and 58.9 cm DBH.",514740.479114,4892730.15135,-68.815561905366,44.1876370190572
"017B","017","Burnt Island","No",2013,1959,1959,1962,"","coastal","Knox","ME","B","","","",514737,4892800,-68.815603476543,44.1882659482992
"017C","017","Sheep Island","No",2013,1995,1996,1990,"","coastal","Knox","ME","B","","","",516539,4891970,-68.793082252858,44.180754707588
"017D","017","Sheep Island","No",2013,1998,1998,1997,"","coastal","Knox","ME","B","","","",516314,4892050,-68.7958947023081,44.1814800246631
"017E","017","Sheep Island","Yes",2013,2013,2010,1999,"","coastal","Knox","ME","B","","","",516334.268004,4892022.34569,-68.7956419898933,44.1812305950184
"017F","017","Sheep Island","Yes",2013,2013,2013,2011,"","coastal","Knox","ME","B","","dominant","",516454.539452,4891970.26509,-68.7941389150997,44.1807590032171
"020A","020","Mills Point","No",2013,1978,1974,1963,"","coastal","Hancock","ME","C","6/16/1977","dominant","",520456,4918850,-68.7430240579039,44.4226545230436
"020B","020","Sam's Island","No",2013,2005,2003,1970,"","coastal","Hancock","ME","C","8/7/1979","dominant","",521195,4919550,-68.7337119528743,44.4289351767575
"020C","020","Mills Point","No",2013,1970,1967,1967,"","coastal","Hancock","ME","C","8/7/1979","dominant","",520270,4918970,-68.7453559470424,44.4237400861175
"020D","020","Sam's Island","No",2013,1989,1989,1983,"","coastal","Hancock","ME","C","","dominant","",521212.154244,4919495.85093,-68.7334986491837,44.4284471844397
"020E","020","Mills Point","Yes",2013,2013,2013,2001,"","coastal","Hancock","ME","C","","supercanopy","",520460,4918770,-68.7429769644299,44.4219341899174
"021B","021","Bear Head vicinity","No",2013,1998,1997,1973,"","coastal","Hancock","ME","C","6/16/1977","dominant","",525042.401121,4915124.99121,-68.685588434198,44.388975113096
"021C","021","Ram Island","No",2013,1981,NA,1974,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","6/20/1977","co-dominant","",525356,4914840,-68.681665113627,44.3863985009682
"021D","021","Ram Island","Yes",2013,2013,2011,1990,"","coastal","Hancock","ME","C","","supercanopy","",525340,4914850,-68.6818654968201,44.3864890882005
"021E","021","Ram Island","Yes",2013,2013,2013,2013,"","coastal","Hancock","ME","C","","dominant","",525323.362,4914864.7998,-68.6820736564888,44.3866229088197
"022A","022","Carleton Island vicinity islet","Yes",2013,2013,2013,1978,"","coastal","Hancock","ME","C","8/17/1979","dominant","",533612.221705,4910704.17127,-68.578281095124,44.3488290416085
"023C","023","Crow Island","No",2013,2000,2000,1995,"","coastal","Hancock","ME","C","","dominant","",551229.221227,4886878.41658,-68.3595901960767,44.1333063095543
"023G","023","Crow Island","Yes",2013,2013,2013,2009,"","coastal","Hancock","ME","C","","dominant","",551241.962154,4886921.22028,-68.3594267676949,44.1336907670275
"023H","023","Crow Island","Yes",2013,2013,NA,2013,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","","dominant","",551290.2169,4886982.2775,-68.3588176272012,44.1342370651079
"024A","024","Placentia Island","No",2013,2006,2006,1964,"","coastal","Hancock","ME","C","8/11/1978","dominant","Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",550296.180111,4892232.13259,-68.3707412855181,44.1815690850401
"024C","024","Placentia Island","No",2013,1963,1963,1962,"","coastal","Hancock","ME","C","8/11/1978","dominant","Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",550093.322284,4892239.64936,-68.3732783849441,44.1816507070633
"024D","024","Placentia Island","Yes",2013,2013,2013,2007,"","coastal","Hancock","ME","C","","dominant","",550272.061124,4892253.57386,-68.3710409694246,44.1817637755723
"025A","025","Bass Harbor Marsh upland","No",2013,1983,1965,1962,"","coastal","Hancock","ME","C","8/2/1977","dominant","",551647.367014,4901262.12961,-68.3529477429263,44.2627680297763
"025B","025","Bass Harbor Marsh","No",2013,1983,NA,1977,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","8/2/1977","dominant","Nest tree leader is dead above nest level.",552239.874425,4900845.80436,-68.3455667052407,44.2589777716579
"025C","025","Buttermilk Brook upland","No",2013,1986,1980,1977,"","coastal","Hancock","ME","C","7/26/1977","dominant","Nest tree leader is dead above nest level.",552056,4902480,-68.3477073590716,44.2737027972468
"026A","026","Bar Island","No",2013,1993,1979,1969,"","coastal","Hancock","ME","C","8/11/1977","dominant","",553890.489008,4911675.17387,-68.323771683377,44.3563477144021
"026B","026","Little Round Pond shoreline","No",2013,1986,1977,1972,"","interior","Hancock","ME","C","8/3/1977","supercanopy","",550497.481366,4912799.19981,-68.3662360470074,44.3667107432577
"026C","026","Somes Pond shoreline - Oak Hill vicinity","No",2013,1996,1991,1978,"","interior","Hancock","ME","C","","supercanopy","",551555,4912160,-68.3530279267985,44.3608820285135
"026D","026","Somes Pond inlet vicinity","No",2013,1970,1966,1966,"","interior","Hancock","ME","C","5/9/1980","supercanopy","",551701.473578,4913488.70198,-68.3510578697998,44.3728330444708
"026E","026","Bar Island","No",2013,2009,2009,1992,"","coastal","Hancock","ME","C","","dominant","",554009.551926,4911604.01984,-68.3222851456959,44.3556983091134
"026F","026","Bar Island","Yes",2013,2013,2013,2011,"","coastal","Hancock","ME","C","","dominant","",553946.802703,4911617.15587,-68.323071110353,44.3558212325788
"027A","027","Bartlett Island - Western Point vicinity","Yes",2013,2013,2013,1978,"","coastal","Hancock","ME","C","6/27/1980","supercanopy","",544129.71859,4910658.93324,-68.4463315561483,44.3478583943084
"028A","028","Blunts Point","No",2013,1983,1972,1965,"","coastal","Hancock","ME","C","8/11/1977","supercanopy","Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",553073.030058,4919211.46782,-68.3332588213957,44.4242518231812
"028B","028","Northeast Creek Meadow island","No",2013,1996,1987,1976,"","coastal","Hancock","ME","C","8/3/1977","dominant","",555376.540404,4918916.11112,-68.3043540939214,44.4214203889568
"028C","028","Northeast Creek Meadow island","No",2013,1985,NA,1977,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","8/3/1977","supercanopy","",555287.217174,4918768.28286,-68.3054918544983,44.4200964403003
"028D","028","South Twinnie Island","Yes",2013,2013,2013,1988,"","coastal","Hancock","ME","C","","supercanopy","",552866,4920090,-68.3357699419117,44.4321757204953
"029A","029","Black Point vicinity upland","No",2013,1999,1999,1977,"","coastal","Hancock","ME","C","7/27/1977","supercanopy","",544125.478401,4931192.4578,-68.4446363928539,44.5327094638055
"029B","029","Black Point vicinity upland","No",2013,1963,NA,1963,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","","supercanopy","",544493,4931400,-68.4399930770843,44.534555222351
"029C","029","Black Point vicinity upland - Meadow Brook","No",2013,1964,1964,1964,"","coastal","Hancock","ME","C","","supercanopy","",543593,4930550,-68.4513921569646,44.5269582827317
"029D","029","Black Point vicinity upland - Meadow Brook","No",2013,1966,1965,1965,"","coastal","Hancock","ME","C","","dominant","",543720.772011,4930640.26388,-68.4497765997568,44.5277631268573
"029E","029","Black Point vicinity upland - Cushmans Meadow","No",2013,1987,1966,1966,"","coastal","Hancock","ME","C","7/7/1980","supercanopy","Nest tree leader is dead above nest level.",544011,4928990,-68.4462649994955,44.5128893601843
"029F","029","Black Point vicinity upland","No",2013,1995,1994,1994,"","coastal","Hancock","ME","C","","","",544331,4931328.29456,-68.4420381421533,44.5339196920004
"029G","029","Black Point vicinity upland","No",2013,2003,2002,2000,"","coastal","Hancock","ME","C","","","",544586.261221,4930789.20295,-68.4388721100737,44.5290509220577
"029H","029","Black Point vicinity upland","Yes",2013,2013,2013,2003,"","coastal","Hancock","ME","C","","","",544299,4930699,-68.4424949307851,44.5282565966435
"030A","030","Poplar Knoll","No",2013,1980,1982,1977,"","interior","Hancock","ME","C","6/24/1977","dominant","",549531,4947520,-68.3750322309607,44.6793391948033
"030B","030","Poplar Knoll","No",2013,2004,2002,1983,"","interior","Hancock","ME","C","","dominant","",549463,4947630,-68.375879553864,44.6803340954659
"030C","030","Poplar Knoll","Yes",2013,2013,2013,2004,"","interior","Hancock","ME","C","","supercanopy","",549526.03883,4947276.07766,-68.3751184268867,44.67714377279
"031E","031","Hills Island","No",2013,2010,1995,1988,"","coastal","Hancock","ME","C","","dominant","Nest tree died and overall condition deteriorated notably during the years of eagle nesting activity.",557853,4929520,-68.2720614639478,44.5166833348484
"031F","031","Hills Island","Yes",2013,2013,2011,1995,"","coastal","Hancock","ME","C","","dominant","",557860,4929630,-68.2719610627667,44.5176729894485
"031G","031","Hills Island","Yes",2013,2013,2013,2012,"","coastal","Hancock","ME","C","","dominant","",557860.7923,4929557.705,-68.2719591982832,44.5170221289843
"032A","032","Eagle Point","No",2013,1982,1976,1973,"","coastal","Hancock","ME","C","5/24/1977","dominant","",555012,4929720,-68.3077845216061,44.5187059700163
"032B","032","Eagle Point","No",2013,1984,NA,1976,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","5/24/1977","supercanopy","",555042,4929690,-68.3074102586247,44.5184336207382
"032C","032","Seal Point vicinity","No",2013,1987,1987,1977,"","coastal","Hancock","ME","C","5/31/1977","supercanopy","",556509,4928120,-68.2891243203946,44.5041870485802
"032D","032","Partridge Cove upland","No",2013,1981,NA,1977,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","5/31/1977","supercanopy","",556372,4927460,-68.2909196505878,44.4982564247179
"032E","032","Stewart Island","No",2013,2005,2005,1996,"","coastal","Hancock","ME","C","","supercanopy","",555181.668155,4930809.28217,-68.3055332552619,44.5284987501462
"032F","032","Stewart Island","Yes",2013,2013,2013,2006,"","coastal","Hancock","ME","C","","dominant","",555098.840492,4930812.87988,-68.3065751892506,44.5285374699413
"033B","033","Butler Point","No",2013,1974,NA,1972,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","","supercanopy","",557570,4934480,-68.2750682128663,44.5613555733761
"033E","033","Egypt Bay shoreline","No",2013,1996,1994,1979,"","coastal","Hancock","ME","C","6/15/1980","supercanopy","",556538.180626,4933793.64904,-68.2881353992342,44.5552588162663
"033G","033","Egypt Bay shoreline","No",2013,1991,1988,1984,"","coastal","Hancock","ME","C","","dominant","",556902.957417,4933651.83645,-68.2835585642732,44.5539535121832
"033I","033","Butler Point","Yes",2013,2013,2011,1995,"","coastal","Hancock","ME","C","","dominant","",557915.604344,4934358.07345,-68.2707303623837,44.5602302994665
"034A","034","Creasey Cove upland","No",2013,1982,1974,1966,"","coastal","Hancock","ME","C","","dominant","",560467,4935680,-68.2384508651945,44.5719203951984
"034B","034","Hog Bay shoreline","No",2013,1974,NA,1968,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","","dominant","",560756,4936460,-68.2347193014088,44.5789174686473
"034C","034","Dwelly Point","No",2013,1980,NA,1967,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","6/1/1977","supercanopy","",560119.699074,4936579.46438,-68.2427194677243,44.580046283909
"034D","034","Buckskin Island","Yes",2013,2013,2011,1966,"","coastal","Hancock","ME","C","","dominant","",560664,4936830,-68.2358343995312,44.5822558891376
"034E","034","Taunton Bay shoreline","No",2013,1972,NA,1967,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","","dominant","",560464.992689,4936147.31642,-68.2384212401831,44.5761272549529
"035A","035","Ingalls Island","No",2013,1996,1989,1970,"","coastal","Hancock","ME","C","8/11/1977","dominant","",563182,4926930,-68.2053320041091,44.4929215475563
"035B","035","Crabtree Neck upland","No",2013,1967,1964,1964,"","coastal","Hancock","ME","C","","dominant","",559971,4928360,-68.2455486053752,44.5060681571972
"035C","035","Bean Island","No",2013,1999,1996,1995,"","coastal","Hancock","ME","C","","co-dominant","",563243,4925070,-68.2047923592607,44.4761727211994
"035D","035","Bean Island","Yes",2013,2013,2013,1997,"","coastal","Hancock","ME","C","","dominant","",563288,4925100,-68.2042229200634,44.4764388371679
"036A","036","Clapham Brook upland","No",2013,1982,1977,1974,"","coastal","Hancock","ME","C","7/4/1978","supercanopy","",563250,4931130,-68.2039623122605,44.5307232801679
"036B","036","Mill Brook upland","No",2013,1999,1995,1977,"","coastal","Hancock","ME","C","8/20/1979","dominant","Nest tree leader is dead above nest level.",564919.974641,4931102.66033,-68.1829502607071,44.5303287624434
"036C","036","Clapham Brook upland","No",2013,1980,NA,1978,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","8/20/1979","dominant","",563430,4931280,-68.2016786808937,44.5320577382837
"036D","036","Sprucewood Point vicinity","No",2013,1998,1997,1996,"","coastal","Hancock","ME","C","","","",563749.935105,4929127.28742,-68.1979183542967,44.5126512369931
"036E","036","Falls Point","No",2013,2005,1996,1997,"","coastal","Hancock","ME","C","","supercanopy","",561912,4930120,-68.2209214465737,44.5217475384287
"036F","036","Falls Point","Yes",2013,2013,2013,1998,"","coastal","Hancock","ME","C","","dominant","",562067,4930130,-68.2189699592508,44.521824236356
"037A","037","Preble Island","No",2013,2000,1982,1966,"","coastal","Hancock","ME","C","8/10/1977","dominant","",566141.555574,4923806.84589,-68.1685115722663,44.4645424932394
"037B","037","Preble Island","No",2013,1984,1973,1967,"","coastal","Hancock","ME","C","8/20/1979","dominant","Nest tree leader is dead above nest level.",565668,4924110,-68.1744257217511,44.4673146183235
"037C","037","Calf Island","Yes",2013,2013,1994,1968,"","coastal","Hancock","ME","C","8/1/1977","dominant","",567176,4923880,-68.1554991127961,44.4651056063146
"037D","037","Calf Island","No",2013,NA,NA,1977,"Nest and the nest tree were fallen when first discovered.","coastal","Hancock","ME","C","8/20/1979","dominant","",567142,4923860,-68.1559290909962,44.4649287297724
"037E","037","Treasure Island","No",2013,1984,1966,1966,"","coastal","Hancock","ME","C","8/21/1979","dominant","",567031.715291,4925433.32078,-68.1571115424759,44.4791016655171
"037F","037","Treasure Island","No",2013,1992,NA,1968,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","8/21/1979","co-dominant","Nest tree leader is dead above nest level.",567084.073729,4925386.34823,-68.1564593262908,44.4786739689002
"037G","037","Waukeag Neck","No",2013,1987,NA,1978,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","8/21/1979","dominant","",566404,4925570,-68.1649863440004,44.4803899974787
"037H","037","Preble Island","No",2013,1999,1993,1993,"","coastal","Hancock","ME","C","","dominant","",565483,4923960,-68.176770271167,44.4659811289068
"037I","037","Calf Island","No",2013,2000,2000,1995,"","coastal","Hancock","ME","C","","","",567118,4923830,-68.1562346630141,44.4646609050438
"037J","037","Calf Island","Yes",2013,2013,2013,2001,"","coastal","Hancock","ME","C","","","",567046,4923840,-68.1571384089346,44.4647576056753
"038A","038","Hog Island","No",2013,1990,1973,1962,"","coastal","Hancock","ME","C","8/2/1978","supercanopy","",570699,4924590,-68.1111180055019,44.4711607695209
"038B","038","Hog Island","No",2013,1980,NA,1977,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock","ME","C","8/10/1977","dominant","",570615,4924600,-68.1121726268555,44.4712590000677
